ID,Description,Entry_ID,Description_Language_ID,CHD_Candidate_ID,CHD_Authority_Status,CHD_Human_Verified
ORT1888-art-000161-s1,.. M?^ké. Ne. Vi tzi te Nencavitzite.,ORT1888-art-000161,crn,ORT1888-cand-000161,machine_derived,false
ORT1888-art-000162-s1,Ico.,ORT1888-art-000162,crn,ORT1888-cand-000162,machine_derived,false
ORT1888-art-000163-s1,Vzi.,ORT1888-art-000163,crn,ORT1888-cand-000163,machine_derived,false
ORT1888-art-000164-s1,Huateahuatziri. Neteahuatziri.,ORT1888-art-000164,crn,ORT1888-cand-000164,machine_derived,false
ORT1888-art-000165-s1,Antzina.,ORT1888-art-000165,crn,ORT1888-cand-000165,machine_derived,false
ORT1888-art-000166-s1,Huatetzinaca.,ORT1888-art-000166,crn,ORT1888-cand-000166,machine_derived,false
ORT1888-art-000167-s1,Atzahuate. Nete.,ORT1888-art-000167,crn,ORT1888-cand-000167,machine_derived,false
ORT1888-art-000168-s1,Bene. Neteu.,ORT1888-art-000168,crn,ORT1888-cand-000168,machine_derived,false
ORT1888-art-000169-s1,Benear.,ORT1888-art-000169,crn,ORT1888-cand-000169,machine_derived,false
ORT1888-art-000170-s1,Ah ti.,ORT1888-art-000170,crn,ORT1888-cand-000170,machine_derived,false
ORT1888-art-000171-s1,Yhebme. N.,ORT1888-art-000171,crn,ORT1888-cand-000171,machine_derived,false
ORT1888-art-000172-s1,Lo mismo que arriba.,ORT1888-art-000172,crn,ORT1888-cand-000172,machine_derived,false
ORT1888-art-000173-s1,Yaóhea.,ORT1888-art-000173,crn,ORT1888-cand-000173,machine_derived,false
ORT1888-art-000174-s1,Vi tori.,ORT1888-art-000174,crn,ORT1888-cand-000174,machine_derived,false
ORT1888-art-000175-s1,Puxcáre.,ORT1888-art-000175,crn,ORT1888-cand-000175,machine_derived,false
ORT1888-art-000176-s1,Ai níia v i .,ORT1888-art-000176,crn,ORT1888-cand-000176,machine_derived,false
ORT1888-art-000177-s1,Háinoarc. Neti.,ORT1888-art-000177,crn,ORT1888-cand-000177,machine_derived,false
ORT1888-art-000178-s1,Chucve. Neti.,ORT1888-art-000178,crn,ORT1888-cand-000178,machine_derived,false
ORT1888-art-000179-s1,Antipitné.,ORT1888-art-000179,crn,ORT1888-cand-000179,machine_derived,false
ORT1888-art-000180-s1,Cuna Neti.,ORT1888-art-000180,crn,ORT1888-cand-000180,machine_derived,false
ORT1888-art-000181-s1,Anacucúne.,ORT1888-art-000181,crn,ORT1888-cand-000181,machine_derived,false
ORT1888-art-000182-s1,Anamimézim. Nete.,ORT1888-art-000182,crn,ORT1888-cand-000182,machine_derived,false
ORT1888-art-000183-s1,Anatayáxe. Nete.,ORT1888-art-000183,crn,ORT1888-cand-000183,machine_derived,false
ORT1888-art-000184-s1,Anacüni.,ORT1888-art-000184,crn,ORT1888-cand-000184,machine_derived,false
ORT1888-art-000185-s1,Anacunazt. Nete.,ORT1888-art-000185,crn,ORT1888-cand-000185,machine_derived,false
ORT1888-art-000186-s1,V ca c u n i .,ORT1888-art-000186,crn,ORT1888-cand-000186,machine_derived,false
ORT1888-art-000187-s1,Muaxemét. pl. tzi.,ORT1888-art-000187,crn,ORT1888-cand-000187,machine_derived,false
ORT1888-art-000188-s1,Aihnatame. pl. tzi.,ORT1888-art-000188,crn,ORT1888-cand-000188,machine_derived,false
ORT1888-art-000189-s1,Quáiravet. pl. tzi.,ORT1888-art-000189,crn,ORT1888-cand-000189,machine_derived,false
ORT1888-art-000190-s1,Tanacucúne.,ORT1888-art-000190,crn,ORT1888-cand-000190,machine_derived,false
